Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Very conservative,4,4,1,0,0
Somewhat cons,15,24,1,9,7
Centrist,20,31,3,4,8
Somewhat liberal,89,93,9,25,60
Very lib,231,156,40,48,81
No opinion,5,8,1,7,9
