Option,First-year,Sophomore,Junior,Senior
Very conservative,1,3,3,2
Somewhat cons,7,10,23,16
Centrist,26,10,16,14
Somewhat liberal,71,82,66,61
Very lib,118,149,123,169
No opinion,10,7,6,7
