Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Very conservative,5,0,2,2,0,0
Somewhat cons,6,26,6,7,3,8
Centrist,6,21,21,9,2,7
Somewhat liberal,4,59,45,117,20,35
Very lib,6,37,61,233,191,33
No opinion,0,0,1,5,0,24
