Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
Very conservative,2,3,0,0,4,0
Somewhat cons,9,10,7,14,15,1
Centrist,5,12,8,16,23,2
Somewhat liberal,22,58,35,96,55,12
Very lib,69,151,62,147,114,16
No opinion,4,3,6,9,5,2
