Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Very conservative,1,2,0,2,4
Somewhat cons,9,22,6,13,6
Centrist,7,18,4,30,7
Somewhat liberal,53,108,35,68,15
Very lib,219,233,27,68,14
No opinion,3,6,14,5,1
