Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Very conservative,3,3,1,1,1
Somewhat cons,13,18,5,9,11
Centrist,14,24,2,9,17
Somewhat liberal,67,87,16,33,75
Very lib,189,127,66,45,133
No opinion,6,7,0,7,10
