Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very conservative,6,0,2,1,0
Somewhat cons,26,0,14,5,11
Centrist,35,4,14,10,3
Somewhat liberal,139,15,57,49,19
Very lib,292,35,97,76,59
No opinion,17,0,4,5,4
