Option,Hetero,Gay,Bisexual,Other
Very conservative,7,1,0,1
Somewhat cons,53,0,1,1
Centrist,65,0,0,0
Somewhat liberal,252,9,10,7
Very lib,437,45,33,36
No opinion,28,0,2,0
