Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
My parents' income and savings,70,107,53,96,5,14,20,74,150,144
Not My parents' income and savings,44,46,12,14,8,3,5,37,36,42
