Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
Non-parental relatives' and friends' contributions,40,63,18,9
Not Non-parental relatives' and friends' contributions,241,407,136,94
