Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
Federal loans,88,63,16,14,51,25,29
Not Federal loans,256,177,70,38,70,39,72
