Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
I do not know if I use any of the above,1,0,2,1,0,0
Not I do not know if I use any of the above,65,227,568,64,21,62
