Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
I do not know if I use any of the above,0,0,0,0,0,0,0,1,3,0
Not I do not know if I use any of the above,114,153,65,110,13,17,25,110,183,186
