Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
Non-University grants and scholarships,16,57,137,18,3,10
Not Non-University grants and scholarships,50,170,433,47,18,52
