Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Federal loans,34,60,22,21,6,2,3,30,67,33
Not Federal loans,80,93,43,89,7,15,22,81,119,153
