Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Non-parental relatives' and friends' contributions,15,11,3,18,0,1,1,14,29,31
Not Non-parental relatives' and friends' contributions,99,142,62,92,13,16,24,97,157,155
