Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Non-parental relatives' and friends' contributions,42,40,16,9,6,17
Not Non-parental relatives' and friends' contributions,180,263,192,77,50,117
