Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
I borrow money from outside sources,10,4,1,2,9,2,4
Not I borrow money from outside sources,334,236,85,50,112,62,97
