Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Non-University grants and scholarships,64,77,45,15,11,26
Not Non-University grants and scholarships,158,226,163,71,45,108
