Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
My parents borrow money from outside sources,5,9,2,6,1,0,0,5,19,9
Not My parents borrow money from outside sources,109,144,63,104,12,17,25,106,167,177
