Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
None of the above,11,4,2,7,3,1,1,17,10,16
Not None of the above,103,149,63,103,10,16,24,94,176,170
