Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Non-University grants and scholarships,27,42,19,22,2,4,5,28,50,38
Not Non-University grants and scholarships,87,111,46,88,11,13,20,83,136,148
