Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
My parents borrow money from outside sources,13,14,13,7,5,5
Not My parents borrow money from outside sources,209,289,195,79,51,129
