Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
Non-University grants and scholarships,67,61,19,17,29,14,32
Not Non-University grants and scholarships,277,179,67,35,92,50,69
