Option,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,I am aware of the plan but do not know enough to have an opinion,I have not heard of the strategic plan
I borrow money from outside sources,0,8,5,2,11,5
Not I borrow money from outside sources,51,202,69,15,488,155
