Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
University grants and scholarships,67,106,45,32,7,6,13,56,105,78
Not University grants and scholarships,47,47,20,78,6,11,12,55,81,108
