Option,"Yes, and I am or plan to","Yes, but I am not or do not plan to","Yes, but I am not sure if I will","No, and I am not sure if I will","No, but I am or plan to","No, and for that reason, I am not or do not plan to","No, and I would not have wanted to even if I felt more prepared"
University grants and scholarships,171,115,39,31,83,42,48
Not University grants and scholarships,173,125,47,21,38,22,53
