Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
I do not know if I use any of the above,1,1,1,0,0,1
Not I do not know if I use any of the above,221,302,207,86,56,133
