Option,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,I am aware of the plan but do not know enough to have an opinion,I have not heard of the strategic plan
University grants and scholarships,23,125,41,8,258,75
Not University grants and scholarships,28,85,33,9,241,85
