Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
My own income and savings,40,67,25,36,4,5,7,48,87,76
Not My own income and savings,74,86,40,74,9,12,18,63,99,110
