Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
I borrow money from outside sources,5,5,2,1,0,0,0,7,6,5
Not I borrow money from outside sources,109,148,63,109,13,17,25,104,180,181
