Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
I borrow money from outside sources,2,4,19,4,2,1
Not I borrow money from outside sources,64,223,551,61,19,61
