Option,More than once a day,Once a day,Three to five times a week,Once or twice a week,Once or twice a month,Less than once a month,I have never masturbated
University grants and scholarships,6,29,74,112,83,76,104
Not University grants and scholarships,7,48,82,126,55,51,69
