Option,18-24,25-29,30-34,35-39,40 or older,I don't intend to get married,I am already married,Not sure
Male,10,177,156,18,1,13,1,82
Female,19,285,119,6,0,18,1,67
Other,0,2,0,0,1,2,0,2
