Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Male,56,60,19,57,4,8,11,53,85,98
Female,58,95,47,54,9,8,14,55,100,84
Other,0,0,0,1,0,0,0,2,1,3
