Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Strongly approve,28,21,7,9,1
Somewhat approve,34,110,67,12,4
No opinion,36,145,345,41,3
Somewhat disapprove,5,24,26,10,0
Strongly disapprove,3,3,4,4,5
I do not know what UCS is,5,22,36,0,0
