Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
Strongly approve,0,64
Somewhat approve,2,225
No opinion,1,568
Somewhat disapprove,0,65
Strongly disapprove,0,21
I do not know what UCS is,0,63
