Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
Strongly approve,17,34,13,2
Somewhat approve,69,110,30,18
No opinion,156,259,87,63
Somewhat disapprove,19,35,8,3
Strongly disapprove,7,10,0,4
I do not know what UCS is,12,24,14,13
