Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
Strongly approve,66,0,0,0,0,0
Somewhat approve,0,228,0,0,0,0
No opinion,0,0,572,0,0,0
Somewhat disapprove,0,0,0,65,0,0
Strongly disapprove,0,0,0,0,21,0
I do not know what UCS is,0,0,0,0,0,63
