Option,Heterosexual,Homosexual,Bisexual,Other
Strongly approve,61,3,0,1
Somewhat approve,200,17,7,1
No opinion,475,43,27,21
Somewhat disapprove,54,7,2,2
Strongly disapprove,16,3,1,1
I do not know what UCS is,56,1,1,4
