Option,I do not know if I use any of the above,Not I do not know if I use any of the above
Strongly approve,1,65
Somewhat approve,0,227
No opinion,2,568
Somewhat disapprove,1,64
Strongly disapprove,0,21
I do not know what UCS is,0,62
