Option,Non-University grants and scholarships,Not Non-University grants and scholarships
Strongly approve,16,50
Somewhat approve,57,170
No opinion,137,433
Somewhat disapprove,18,47
Strongly disapprove,3,18
I do not know what UCS is,10,52
