Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Strongly approve,28,2,16,11,8
Somewhat approve,121,11,40,36,19
No opinion,274,33,109,109,42
Somewhat disapprove,30,2,13,13,7
Strongly disapprove,7,0,6,4,4
I do not know what UCS is,43,0,10,4,5
