Option,"Physical sciences (incl. math, CS)","Not Physical sciences (incl. math, CS)"
Strongly approve,12,48
Somewhat approve,61,164
No opinion,152,392
Somewhat disapprove,17,46
Strongly disapprove,7,14
I do not know what UCS is,20,42
