Option,I borrow money from outside sources,Not I borrow money from outside sources
Strongly approve,2,64
Somewhat approve,4,223
No opinion,19,551
Somewhat disapprove,4,61
Strongly disapprove,2,19
I do not know what UCS is,1,61
