Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
Strongly approve,8,16,9,6,1,1,3,7,8,4
Somewhat approve,27,35,17,24,6,11,4,20,44,36
No opinion,69,73,29,66,4,4,11,66,109,117
Somewhat disapprove,4,11,5,7,1,0,5,5,11,14
Strongly disapprove,0,4,0,2,1,0,2,6,3,3
I do not know what UCS is,6,14,5,6,0,0,0,7,10,12
