Option,My parents borrow money from outside sources,Not My parents borrow money from outside sources
Strongly approve,2,64
Somewhat approve,12,215
No opinion,33,537
Somewhat disapprove,8,57
Strongly disapprove,1,20
I do not know what UCS is,1,61
