Option,A significant role,A moderate role,A small role,No role,No opinion
Strongly approve,3,23,32,8,0
Somewhat approve,10,104,89,18,7
No opinion,27,236,227,67,10
Somewhat disapprove,4,19,30,11,1
Strongly disapprove,0,8,9,4,0
I do not know what UCS is,5,23,19,13,1
