Option,American Indian/Alaska Native,Not American Indian/Alaska Native
Strongly approve,0,64
Somewhat approve,3,224
No opinion,10,559
Somewhat disapprove,1,64
Strongly disapprove,0,21
I do not know what UCS is,1,62
