Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Strongly approve,18,14,16,7,5,6
Somewhat approve,37,89,41,22,11,25
No opinion,130,168,126,39,26,80
Somewhat disapprove,15,19,7,10,8,6
Strongly disapprove,8,4,3,2,1,3
I do not know what UCS is,14,10,12,6,5,15
