Option,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly disapprove,I am aware of the plan but do not know enough to have an opinion,I have not heard of the strategic plan
Strongly approve,16,23,11,2,13,1
Somewhat approve,19,82,18,4,94,10
No opinion,13,74,33,4,332,114
Somewhat disapprove,1,17,9,3,30,4
Strongly disapprove,0,9,1,5,4,2
I do not know what UCS is,1,5,2,0,25,30
