Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Very comfortable,126,86,18,22,42
Somewhat comfortable,146,118,21,36,67
No opinion,30,19,3,13,22
Somewhat uncomfortable,53,73,9,22,29
Very uncomfortable,11,23,4,3,6
