Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
Very comfortable,140,78,55,5,1,15
Somewhat comfortable,160,137,68,4,1,21
No opinion,30,33,14,2,0,9
Somewhat uncomfortable,63,69,38,4,0,10
Very uncomfortable,22,12,9,1,2,1
