Option,"American ""Indian/Alaska Native""","Not American ""Indian/Alaska Native"""
Very comfortable,0,295
Somewhat comfortable,0,390
No opinion,0,88
Somewhat uncomfortable,0,186
Very uncomfortable,0,48
