Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Very comfortable,155,17,60,37,26
Somewhat comfortable,195,25,70,56,44
No opinion,43,4,16,14,11
Somewhat uncomfortable,98,7,38,35,9
Very uncomfortable,28,1,7,5,7
