Option,"No, I do not feel inadequate relative to other Brown students","Not No, I do not feel inadequate relative to other Brown students"
Very comfortable,142,151
Somewhat comfortable,145,243
No opinion,40,45
Somewhat uncomfortable,82,102
Very uncomfortable,24,24
