Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Very comfortable,1,9,7,53,219,3
Somewhat comfortable,2,22,18,108,233,6
No opinion,0,6,4,35,27,14
Somewhat uncomfortable,2,13,30,68,68,5
Very uncomfortable,4,6,7,15,14,1
