Option,Grad students have been mentors (formal or informal) to me,Not Grad students have been mentors (formal or informal) to me
Very comfortable,76,216
Somewhat comfortable,104,286
No opinion,19,69
Somewhat uncomfortable,34,152
Very uncomfortable,12,36
