Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Very comfortable,93,80,35,27,61
Somewhat comfortable,123,91,33,34,110
No opinion,22,18,5,9,33
Somewhat uncomfortable,46,63,11,25,41
Very uncomfortable,11,17,6,9,5
