Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Very comfortable,296,0,0,0,0
Somewhat comfortable,0,392,0,0,0
No opinion,0,0,88,0,0
Somewhat uncomfortable,0,0,0,187,0
Very uncomfortable,0,0,0,0,48
