Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Very comfortable,5,18,38,119,99,17
Somewhat comfortable,8,52,57,160,82,33
No opinion,0,11,13,26,10,28
Somewhat uncomfortable,10,53,23,58,18,25
Very uncomfortable,4,13,8,11,9,3
