Option,Native Hawaiian/Pacific Islander,Not Native Hawaiian/Pacific Islander
Very comfortable,0,295
Somewhat comfortable,0,390
No opinion,0,88
Somewhat uncomfortable,0,186
Very uncomfortable,0,48
