Option,Hetero,Gay,Bisexual,Other
Very comfortable,234,22,15,20
Somewhat comfortable,326,21,20,20
No opinion,80,4,2,1
Somewhat uncomfortable,163,9,8,4
Very uncomfortable,47,0,1,0
