Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Strongly approve,18,18,2,15,12
Somewhat approve,108,100,28,42,74
No opinion,86,81,21,36,113
Somewhat disapprove,73,58,31,11,46
Strongly disapprove,10,13,7,1,3
